InvoiceNo,StockCode,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12-01-2010 08:26,2.55,17850,United Kingdom
71053,WHITE METAL LANTERN,6,12-01-2010 08:26,3.39,17850,United Kingdom
84406B,CREAM CUPID HEARTS COAT HANGER,8,12-01-2010 08:26,2.75,17850,United Kingdom
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,12-01-2010 08:26,3.39,17850,United Kingdom
84029E,RED WOOLLY HOTTIE WHITE HEART.,6,12-01-2010 08:26,3.39,17850,United Kingdom
22752,SET 7 BABUSHKA NESTING BOXES,2,12-01-2010 08:26,7.65,17850,United Kingdom
21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,12-01-2010 08:26,4.25,17850,United Kingdom
22633,HAND WARMER UNION JACK,6,12-01-2010 08:28,1.85,17850,United Kingdom
22632,HAND WARMER RED POLKA DOT,6,12-01-2010 08:28,1.85,17850,United Kingdom
84879,ASSORTED COLOUR BIRD ORNAMENT,32,12-01-2010 08:34,1.69,13047,United Kingdom
22745,POPPY'S PLAYHOUSE BEDROOM ,6,12-01-2010 08:34,2.1,13047,United Kingdom
22748,POPPY'S PLAYHOUSE KITCHEN,6,12-01-2010 08:34,2.1,13047,United Kingdom
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,8,12-01-2010 08:34,3.75,13047,United Kingdom
22310,IVORY KNITTED MUG COSY ,6,12-01-2010 08:34,1.65,13047,United Kingdom
84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,12-01-2010 08:34,4.25,13047,United Kingdom
22623,BOX OF VINTAGE JIGSAW BLOCKS ,3,12-01-2010 08:34,4.95,13047,United Kingdom
22622,BOX OF VINTAGE ALPHABET BLOCKS,2,12-01-2010 08:34,9.95,13047,United Kingdom
21754,HOME BUILDING BLOCK WORD,3,12-01-2010 08:34,5.95,13047,United Kingdom
21755,LOVE BUILDING BLOCK WORD,3,12-01-2010 08:34,5.95,13047,United Kingdom
21777,RECIPE BOX WITH METAL HEART,4,12-01-2010 08:34,7.95,13047,United Kingdom
48187,DOORMAT NEW ENGLAND,4,12-01-2010 08:34,7.95,13047,United Kingdom
22960,JAM MAKING SET WITH JARS,6,12-01-2010 08:34,4.25,13047,United Kingdom
22913,RED COAT RACK PARIS FASHION,3,12-01-2010 08:34,4.95,13047,United Kingdom
22912,YELLOW COAT RACK PARIS FASHION,3,12-01-2010 08:34,4.95,13047,United Kingdom
22914,BLUE COAT RACK PARIS FASHION,3,12-01-2010 08:34,4.95,13047,United Kingdom
21756,BATH BUILDING BLOCK WORD,3,12-01-2010 08:35,5.95,13047,United Kingdom
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,80,12-01-2010 09:00,2.55,13748,United Kingdom
22632,HAND WARMER RED POLKA DOT,6,12-01-2010 09:01,1.85,17850,United Kingdom
22633,HAND WARMER UNION JACK,6,12-01-2010 09:01,1.85,17850,United Kingdom
85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12-01-2010 09:02,2.55,17850,United Kingdom
71053,WHITE METAL LANTERN,6,12-01-2010 09:02,3.39,17850,United Kingdom
84406B,CREAM CUPID HEARTS COAT HANGER,8,12-01-2010 09:02,2.75,17850,United Kingdom
20679,EDWARDIAN PARASOL RED,6,12-01-2010 09:02,4.95,17850,United Kingdom
37370,RETRO COFFEE MUGS ASSORTED,6,12-01-2010 09:02,1.06,17850,United Kingdom
21871,SAVE THE PLANET MUG,6,12-01-2010 09:02,1.06,17850,United Kingdom
21071,VINTAGE BILLBOARD DRINK ME MUG,6,12-01-2010 09:02,1.06,17850,United Kingdom
21068,VINTAGE BILLBOARD LOVE/HATE MUG,6,12-01-2010 09:02,1.06,17850,United Kingdom
82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,12-01-2010 09:02,4.95,17850,United Kingdom
82486,WOOD S/3 CABINET ANT WHITE FINISH,4,12-01-2010 09:02,6.95,17850,United Kingdom
82482,WOODEN PICTURE FRAME WHITE FINISH,6,12-01-2010 09:02,2.1,17850,United Kingdom
82494L,WOODEN FRAME ANTIQUE WHITE ,6,12-01-2010 09:02,2.55,17850,United Kingdom
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,12-01-2010 09:02,3.39,17850,United Kingdom
84029E,RED WOOLLY HOTTIE WHITE HEART.,6,12-01-2010 09:02,3.39,17850,United Kingdom
22752,SET 7 BABUSHKA NESTING BOXES,2,12-01-2010 09:02,7.65,17850,United Kingdom
21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,12-01-2010 09:02,4.25,17850,United Kingdom
21258,VICTORIAN SEWING BOX LARGE,32,12-01-2010 09:09,10.95,15100,United Kingdom
85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12-01-2010 09:32,2.55,17850,United Kingdom
71053,WHITE METAL LANTERN,6,12-01-2010 09:32,3.39,17850,United Kingdom
84406B,CREAM CUPID HEARTS COAT HANGER,8,12-01-2010 09:32,2.75,17850,United Kingdom
20679,EDWARDIAN PARASOL RED,6,12-01-2010 09:32,4.95,17850,United Kingdom
37370,RETRO COFFEE MUGS ASSORTED,6,12-01-2010 09:32,1.06,17850,United Kingdom
21871,SAVE THE PLANET MUG,6,12-01-2010 09:32,1.06,17850,United Kingdom
21071,VINTAGE BILLBOARD DRINK ME MUG,6,12-01-2010 09:32,1.06,17850,United Kingdom
21068,VINTAGE BILLBOARD LOVE/HATE MUG,6,12-01-2010 09:32,1.06,17850,United Kingdom
82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,12-01-2010 09:32,4.95,17850,United Kingdom
82486,WOOD S/3 CABINET ANT WHITE FINISH,4,12-01-2010 09:32,6.95,17850,United Kingdom
82482,WOODEN PICTURE FRAME WHITE FINISH,6,12-01-2010 09:32,2.1,17850,United Kingdom
82494L,WOODEN FRAME ANTIQUE WHITE ,6,12-01-2010 09:32,2.55,17850,United Kingdom
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,12-01-2010 09:32,3.39,17850,United Kingdom
84029E,RED WOOLLY HOTTIE WHITE HEART.,6,12-01-2010 09:32,3.39,17850,United Kingdom
22752,SET 7 BABUSHKA NESTING BOXES,2,12-01-2010 09:32,7.65,17850,United Kingdom
21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,12-01-2010 09:32,4.25,17850,United Kingdom
22114,HOT WATER BOTTLE TEA AND SYMPATHY,48,12-01-2010 09:32,3.45,15291,United Kingdom
21733,RED HANGING HEART T-LIGHT HOLDER,64,12-01-2010 09:32,2.55,15291,United Kingdom
22632,HAND WARMER RED POLKA DOT,6,12-01-2010 09:34,1.85,17850,United Kingdom
22633,HAND WARMER UNION JACK,6,12-01-2010 09:34,1.85,17850,United Kingdom
22386,JUMBO BAG PINK POLKADOT,10,12-01-2010 09:37,1.95,14688,United Kingdom
85099C,JUMBO  BAG BAROQUE BLACK WHITE,10,12-01-2010 09:37,1.95,14688,United Kingdom
21033,JUMBO BAG CHARLIE AND LOLA TOYS,10,12-01-2010 09:37,2.95,14688,United Kingdom
20723,STRAWBERRY CHARLOTTE BAG,10,12-01-2010 09:37,0.85,14688,United Kingdom
84997B,RED 3 PIECE RETROSPOT CUTLERY SET,12,12-01-2010 09:37,3.75,14688,United Kingdom
84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,6,12-01-2010 09:37,3.75,14688,United Kingdom
21094,SET/6 RED SPOTTY PAPER PLATES,12,12-01-2010 09:37,0.85,14688,United Kingdom
